symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
XTZBTC;-0,00000085;-3,860;0,00002151;0,00002198;0,00002117;28,30000000;0,00002112;560,00000000;0,00002114;36,50000000;0,00002202;0,00002221;0,00002084;258638,10000000;5,56401314;2024-01-04 22:12:09.494;2024-01-05 22:12:09.494;27018554;27023476;4923
XTZUSDT;-0,05000000;-5,139;0,94068001;0,97400000;0,92300000;1207,10000000;0,92300000;2028,90000000;0,92400000;140,10000000;0,97300000;0,98400000;0,90100000;6212507,10000000;5843981,23270000;2024-01-04 22:11:55.789;2024-01-05 22:11:55.789;93839889;93876172;36284
RENUSDT;-0,00411400;-6,492;0,06082561;0,06360100;0,05925400;1266,00000000;0,05920100;1873,00000000;0,05924900;1813,00000000;0,06336800;0,06410300;0,05748200;49839812,00000000;3031537,09198600;2024-01-04 22:12:05.482;2024-01-05 22:12:05.482;41669741;41697702;27962
RVNUSDT;-0,00090000;-4,425;0,01969674;0,02037000;0,01944000;2713,50000000;0,01942000;50692,70000000;0,01944000;35643,20000000;0,02034000;0,02046000;0,01897000;157208988,60000000;3096504,46273700;2024-01-04 22:12:02.752;2024-01-05 22:12:02.752;58832031;58859623;27593
HCUSDT;0,00000000;0,000;0,00000000;0,84230000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
HBARBNB;-0,00001370;-4,935;0,00026611;0,00027750;0,00026390;4800,00000000;0,00026360;3611,00000000;0,00026400;3094,00000000;0,00027760;0,00027790;0,00026140;4597007,00000000;1223,31970380;2024-01-04 22:12:08.798;2024-01-05 22:12:08.798;1872647;1881002;8356
HBARBTC;-0,00000011;-5,473;0,00000194;0,00000201;0,00000190;5686,00000000;0,00000190;2400,00000000;0,00000191;477301,00000000;0,00000201;0,00000202;0,00000187;7803267,00000000;15,15844864;2024-01-04 22:12:08.790;2024-01-05 22:12:08.790;19020156;19024226;4071
HBARUSDT;-0,00600000;-6,742;0,08457749;0,08900000;0,08300000;5869,00000000;0,08300000;80123,00000000;0,08310000;200666,00000000;0,08900000;0,08940000;0,08080000;175301678,00000000;14826576,41320000;2024-01-04 22:12:09.772;2024-01-05 22:12:09.772;70640373;70688902;48530
NKNBNB;0,00000000;0,000;0,00000000;0,00074700;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
NKNBTC;-0,00000007;-2,397;0,00000295;0,00000292;0,00000285;171,00000000;0,00000284;300,00000000;0,00000285;12036,00000000;0,00000292;0,00000319;0,00000280;2187300,00000000;6,46003659;2024-01-04 22:11:52.042;2024-01-05 22:11:52.042;10601896;10609356;7461
